        Unnamed: 0   RegionCode     Latitude    Longitude  HospitalizedPatients  IntensiveCarePatients  TotalHospitalizedPatients  HomeConfinement  CurrentPositiveCases  NewPositiveCases      Recovered        Deaths  TotalPositiveCases  TestsPerformed
count  6027.000000  6027.000000  6027.000000  6027.000000           6027.000000            6027.000000                6027.000000      6027.000000           6027.000000       6027.000000    6027.000000   6027.000000          6027.00000    6.027000e+03
mean   3013.000000    11.857143    43.046293    12.225955            509.093579              55.892318                 564.985897      5722.911399           6287.897296        286.885847    9337.852829   1474.370665         17100.12361    2.102397e+05
std    1739.989368     6.274319     2.488987     2.659168           1272.731157             134.957979                1403.362341     15892.768789          16804.884786        818.450458   20551.265039   3365.190225         36934.67627    3.172454e+05
min       0.000000     1.000000    38.115697     7.320149              0.000000               0.000000                   0.000000         0.000000              0.000000       -229.000000       0.000000      0.000000             0.00000    0.000000e+00
25%    1506.500000     7.000000    41.125596    11.121231             16.000000               1.000000                  17.000000       139.000000            168.000000          4.000000     734.000000     98.000000          1383.50000    2.259350e+04
50%    3013.000000    12.000000    43.616760    12.388247             93.000000               9.000000                 106.000000       743.000000            905.000000         31.000000    2840.000000    389.000000          4613.00000    9.744600e+04
75%    4519.500000    17.000000    45.434905    13.768136            384.500000              46.000000                 434.000000      3057.000000           3735.000000        159.500000    8450.500000   1102.500000         15304.00000    2.476075e+05
max    6026.000000    22.000000    46.499335    16.867367          12077.000000            1381.000000               13328.000000    155066.000000         164406.000000      11489.000000  289706.000000  23024.000000        429109.00000    2.415099e+06
